First name,Last name,Email,Date of Birth,Phone Number,Password,House name,Street,Area,City,State,Country,Zip code,Card number,Valid From Date,Valid To Date,CVV,Name on card,Statement Date,Credit limit,Rewards points
First 1,Last 1,customer1@gmail.com,12-12-1980,989784584,Pass123$,House 1,Street 1,Area 1,Ahmedabad,Gujarat,India,380060,1234-1234-1234-0001,12-12-2013,12-12-2015,111,First 1 Last 1,12-05-2015,25000,10
First 2,Last 2,customer2@gmail.com,13-12-1980,989784584,Pass123$,House 2,Street 2,Area 2,Ahmedabad,Gujarat,India,380060,1234-1234-1234-0002,13-12-2013,13-12-2015,222,First 2 Last 2,13-05-2015,25000,10
First 3,Last 3,customer3@gmail.com,14-12-1980,989784584,Pass123$,House 3,Street 3,Area 3,Ahmedabad,Gujarat,India,380060,1234-1234-1234-0003,14-12-2013,14-12-2015,333,First 3 Last 3,14-05-2015,25000,10
First 4,Last 4,customer4@gmail.com,15-12-1980,989784584,Pass123$,House 4,Street 4,Area 4,Ahmedabad,Gujarat,India,380060,1234-1234-1234-0004,15-12-2013,15-12-2015,444,First 4 Last 4,15-05-2015,25000,10
First 5,Last 5,customer5@gmail.com,16-12-1980,989784584,Pass123$,House 5,Street 5,Area 5,Ahmedabad,Gujarat,India,380060,1234-1234-1234-0005,16-12-2013,16-12-2015,555,First 5 Last 5,16-05-2015,25000,10
First 6,Last 6,customer6@gmail.com,17-12-1980,989784584,Pass123$,House 6,Street 6,Area 6,Ahmedabad,Gujarat,India,380060,1234-1234-1234-0006,17-12-2013,17-12-2015,666,First 6 Last 6,17-05-2015,25000,10
First 7,Last 7,customer7@gmail.com,18-12-1980,989784584,Pass123$,House 7,Street 7,Area 7,Ahmedabad,Gujarat,India,380060,1234-1234-1234-0007,18-12-2013,18-12-2015,777,First 7 Last 7,18-05-2015,25000,10
First 8,Last 8,customer8@gmail.com,19-12-1980,989784584,Pass123$,House 8,Street 8,Area 8,Ahmedabad,Gujarat,India,380060,1234-1234-1234-0008,19-12-2013,19-12-2015,888,First 8 Last 8,19-05-2015,25000,10
First 9,Last 9,customer9@gmail.com,20-12-1980,989784584,Pass123$,House 9,Street 9,Area 9,Ahmedabad,Gujarat,India,380060,1234-1234-1234-0009,20-12-2013,20-12-2015,999,First 9 Last 9,20-05-2015,25000,10
First 10,Last 10,customer10@gmail.com,21-12-1980,989784584,Pass123$,House 10,Street 10,Area 10,Ahmedabad,Gujarat,India,380060,1234-1234-1234-0010,21-12-2013,21-12-2015,100,First 10 Last 10,21-05-2015,25000,10
First 11,Last 11,customer11@gmail.com,22-12-1980,989784584,Pass123$,House 11,Street 11,Area 11,Ahmedabad,Gujarat,India,380060,1234-1234-1234-0011,22-12-2013,22-12-2015,110,First 11 Last 11,22-05-2015,25000,10
First 12,Last 12,customer12@gmail.com,23-12-1980,989784584,Pass123$,House 12,Street 12,Area 12,Ahmedabad,Gujarat,India,380060,1234-1234-1234-0012,23-12-2013,23-12-2015,120,First 12 Last 12,23-05-2015,25000,10
First 13,Last 13,customer13@gmail.com,24-12-1980,989784584,Pass123$,House 13,Street 13,Area 13,Ahmedabad,Gujarat,India,380060,1234-1234-1234-0013,24-12-2013,24-12-2015,130,First 13 Last 13,24-05-2015,25000,10
First 14,Last 14,customer14@gmail.com,25-12-1980,989784584,Pass123$,House 14,Street 14,Area 14,Ahmedabad,Gujarat,India,380060,1234-1234-1234-0014,25-12-2013,25-12-2015,140,First 14 Last 14,25-05-2015,25000,10
First 15,Last 15,customer15@gmail.com,26-12-1980,989784584,Pass123$,House 15,Street 15,Area 15,Ahmedabad,Gujarat,India,380060,1234-1234-1234-0015,26-12-2013,26-12-2015,150,First 15 Last 15,26-05-2015,25000,10
First 16,Last 16,customer16@gmail.com,27-12-1980,989784584,Pass123$,House 16,Street 16,Area 16,Ahmedabad,Gujarat,India,380060,1234-1234-1234-0016,27-12-2013,27-12-2015,160,First 16 Last 16,27-05-2015,25000,10
First 17,Last 17,customer17@gmail.com,28-12-1980,989784584,Pass123$,House 17,Street 17,Area 17,Ahmedabad,Gujarat,India,380060,1234-1234-1234-0017,28-12-2013,28-12-2015,170,First 17 Last 17,28-05-2015,25000,10
